,Year,AreaHa,Shape__Length,StartDate,Label,FireName
6501,2004,240000.0,1930,2004-10-08,2004-05 Wildfire,Little Capertee Creek
6502,2004,10000.0,356,2004-10-15,2004-05 Wildfire,Vale of Avoca
6503,2004,10000.0,435,2004-11-03,2004-05 Wildfire,Sentinel Mount
6504,2004,170000.0,1913,2004-12-01,2004-05 Wildfire,Sarinen
6505,2004,10000.0,403,2004-12-01,2004-05 Wildfire,Scrubby Creek
6506,2004,520000.0,2938,2004-12-19,2004-05 Wildfire,Sunnyside Ridge
6507,2004,10000.0,536,2004-12-24,2004-05 Wildfire,Mt Harvey
6508,2004,10000.0,434,2004-12-25,2004-05 Wildfire,Avisford 946
6510,2004,10000.0,437,2005-01-15,2004-05 Wildfire,Culoul Creek
6511,2004,0.0,215,2004-12-22,2004-05 Wildfire,Wombats Revenge
6512,2004,0.0,215,2005-01-15,2004-05 Wildfire,Woodford 625
6513,2004,10000.0,460,2005-01-12,2004-05 Wildfire,Bob Turners Track
6514,2004,0.0,345,2005-01-20,2004-05 Wildfire,Evans Crown NR
6515,2004,80000.0,1141,2005-01-14,2004-05 Wildfire,Tambo Creek
6518,2004,0.0,47,2004-08-10,2004-05 Wildfire,4 Leisure Close
6519,2004,0.0,27,2004-09-11,2004-05 Wildfire,Bobbin Head Picnic Area
6520,2004,0.0,283,2005-01-06,2004-05 Wildfire,Gentlemans Halt Fire
6521,2004,10000.0,418,2004-10-27,2004-05 Wildfire,Bulli Tops
6522,2004,10000.0,365,2004-10-27,2004-05 Wildfire,Sublime Point
6523,2004,0.0,190,2004-10-28,2004-05 Wildfire,Quibray Bay 1
6524,2004,0.0,585,2004-10-28,2004-05 Wildfire,Quibray Bay 1
6525,2004,0.0,263,2004-11-27,2004-05 Wildfire,Car Fire Audley
6526,2004,10000.0,362,2004-11-27,2004-05 Wildfire,Kingfisher Pool
6527,2004,170000.0,2221,2004-11-28,2004-05 Wildfire,Gate 2
6528,2004,0.0,128,2004-12-01,2004-05 Wildfire,Bundeena Car
6529,2004,0.0,124,2004-12-06,2004-05 Wildfire,Cabin Fire Bonnie Vale
6530,2004,0.0,141,2005-01-01,2004-05 Wildfire,Jacana Grove Cubby
6531,2004,0.0,214,2005-01-01,2004-05 Wildfire,Yena Gap
6532,2004,10000.0,368,2005-01-03,2004-05 Wildfire,Costens Point
6533,2004,50000.0,832,2005-01-06,2004-05 Wildfire,Jibbon Point Trail
6534,2004,0.0,127,2005-01-19,2004-05 Wildfire,"Lady Carrington Dr, Karani Bro"
6535,2004,0.0,236,2005-02-18,2004-05 Wildfire,Lady Carrington Dr
6536,2004,0.0,280,2005-01-03,2004-05 Wildfire,East Heathcote
6537,2004,0.0,236,2005-02-08,2004-05 Wildfire,Werri Berri
6538,2004,0.0,264,2004-08-13,2004-05 Wildfire,Rangers Residence
6539,2004,80000.0,1824,2004-07-06,2004-05 Wildfire,"WSRP Wildfire 2, Sugarloaf"
6540,2004,0.0,79,2004-09-07,2004-05 Wildfire,South Down Road
6541,2004,80000.0,1285,2004-09-27,2004-05 Wildfire,Cowpasture Rd - Dairy
6542,2004,0.0,118,2004-10-14,2004-05 Wildfire,Horsely Drive
6543,2004,10000.0,638,2004-07-01,2004-05 Wildfire,Mulgoa 04-1
6544,2004,10000.0,532,2004-07-01,2004-05 Wildfire,Leacock 04-2
6545,2004,0.0,547,2004-08-22,2004-05 Wildfire,Leacock 04-3
6546,2004,20000.0,725,2004-09-09,2004-05 Wildfire,Leacock 04-4
6547,2004,0.0,352,2004-10-07,2004-05 Wildfire,Dobroyd Head / Grotto Point
